loginID,Customer_Name,Customer_Age,Customer_Occupation,Credit_Card_Number,Order_ID,Order_Date,Expected_Delivery,Actual_Delivery,Product_ID,Product_Name,Category,Manufacturer,Review_Rating,Delivery_Tracking_ID,Delivery_Type,Delivery_Zip_Code,Transaction_Status,Order_Returned,Order_Delivered
Lisa,Lisa,55,Principal,5543-5862-3446-3466,85,11/28/2020,12/03/2020,12/03/2020,celery,Celery,tvs,LeafyGreens,5,1349,pickup,60617,Disputed,No,Yes
Mark,Paul,28,Teacher,6489-1425-4523-1843,7,11/30/2020,12/05/2020,12/05/2020,chocolate pudding,"Hersheys Chocolate Pudding Cups, 4 ct - 15.5 oz",tvs,Desserts,2,1934,pickup,60615,Disputed,No,Yes
Mark,Paul,28,Teacher,6489-1425-4523-1843,61,11/30/2020,12/05/2020,12/05/2020,grapefruit,Lemons,tvs,Citrus,1,4483,delivery,60615,Approved,No,Yes
Mark,Paul,28,Teacher,6489-1425-4523-1843,84,11/30/2020,12/05/2020,12/05/2020,chocolate cookies,"Pillsbury Ready To Bake Chocolate Chip Cookies, 24 Ct",tvs,Doughs,3,5743,delivery,60615,Approved,No,Yes
Mary,Mary,28,Accountant,5566-4992-5956-9634,27,11/30/2020,12/05/2020,12/05/2020,crescent rolls,"Pillsbury Crescent Rolls Original, 16 ct, 16 oz, 2 pack",tvs,Doughs,2,7685,delivery,60615,Disputed,No,Yes
Mary,Mary,28,Accountant,4894-1589-1456-2535,45,11/30/2020,12/05/2020,12/05/2020,coffee,NESCAFE CLASICO Dark Roast Instant Coffee,tvs,Coffee,2,7693,pickup,60615,Disputed,No,Yes
Mary,Mary,28,Accountant,5566-4992-5956-9634,67,11/30/2020,12/05/2020,12/05/2020,chocolate milk,"Great Value 1% Chocolate Milk, Half Gallon",tvs,Yogurts,2,997,pickup,60615,Disputed,No,Yes
Matthew,Matthew,33,Accountant,5443-3495-1843-1843,8,11/30/2020,12/05/2020,12/05/2020,vinegar,"Great Value Distilled White Vinegar, 1 gal",tvs,Vinegar,2,2747,pickup,60618,Approved,No,Yes
Matthew,Matthew,33,Accountant,5443-3495-1843-1843,50,11/30/2020,12/05/2020,12/05/2020,bread,"Marketside Sliced Brioche, 17.6 oz",tvs,Buns,2,1165,pickup,60618,Approved,No,Yes
Matthew,Matthew,33,Accountant,5443-3495-1843-1843,81,11/30/2020,12/05/2020,12/05/2020,pancakes,"De Wafelbakkers Frozen Buttermilk Pancakes, 24 ct",tvs,FrozenBreakfast,2,3221,delivery,60618,Approved,No,Yes
Sandra,Sandra,25,Software Engineer,4598-1434-8531-1642,81,11/30/2020,12/05/2020,12/05/2020,redraddish,RedRaddish,tvs,RootVegetables,2,4689,pickup,60620,Disputed,No,Yes
Sandra,Sandra,25,Software Engineer,4598-1434-8531-1642,84,11/30/2020,12/05/2020,12/05/2020,papaya,Pineapple,tvs,TropicalFruits,2,1593,pickup,60620,Approved,No,Yes
Sandra,Sandra,25,Software Engineer,4598-1434-8531-1642,95,11/30/2020,12/05/2020,12/05/2020,green tea,"Yogi Green Tea Kombucha Tea Bags, 16 count",tvs,Coffee,1,7983,delivery,60620,Approved,No,Yes
